partition (MB),data (GB),run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps,num_worlds,total_duration (s),inference_duration (s)
75,10.0,1,16.3,7292455.3,1839375743.72,137.0,53.38,45.17
75,10.0,2,15.6,7292452.12,2079198469.96,137.0,47.97,39.63
75,10.0,3,15.62,7292441.36,2107720746.92,137.0,46.9,38.7
75,10.0,mean,15.84,7292449.59,2008764986.87,137.0,49.42,41.17
75,12.6,1,16.17,9221429.96,2569740515.07,173.0,50.82,41.03
75,12.6,2,15.52,9221419.58,2448094788.71,173.0,52.28,42.58
75,12.6,3,15.45,9221430.11,2963458324.07,173.0,44.95,35.1
75,12.6,mean,15.71,9221426.55,2660431209.28,173.0,49.35,39.57
100,1.0,1,23.89,786073.94,167016080.95,11.0,58.04,51.69
100,1.0,2,20.22,786074.01,194630876.94,11.0,46.44,43.89
100,1.0,3,20.4,786056.26,198381783.93,11.0,46.22,43.81
100,1.0,mean,21.5,786068.07,186676247.27,11.0,50.23,46.46
100,2.0,1,22.22,1500683.65,383611692.36,21.0,47.68,44.85
100,2.0,2,20.11,1500686.95,373738822.46,21.0,47.75,45.01
100,2.0,3,20.17,1500686.92,370095956.16,21.0,48.59,45.76
100,2.0,mean,20.83,1500685.84,375815490.33,21.0,48.01,45.21
100,4.0,1,22.36,2861798.79,738678806.83,41.0,49.82,46.11
100,4.0,2,20.36,2861810.24,710287351.78,41.0,51.1,47.36
100,4.0,3,20.24,2861810.27,722799913.53,41.0,50.27,46.61
100,4.0,mean,20.99,2861806.43,723922024.05,41.0,50.4,46.69
100,6.0,1,21.59,4362497.09,1072720235.44,62.0,52.22,47.57
100,6.0,2,20.56,4362488.87,1045908070.28,62.0,53.18,48.32
100,6.0,3,20.59,4362496.07,1044949735.83,62.0,53.56,48.66
100,6.0,mean,20.91,4362494.01,1054526013.85,62.0,52.99,48.18
100,8.0,1,21.23,5791721.62,1346692705.09,82.0,56.12,50.66
100,8.0,2,20.55,5791721.78,1310549584.61,82.0,56.28,50.79
100,8.0,3,20.29,5791721.91,1363349828.69,82.0,54.98,49.3
100,8.0,mean,20.69,5791721.77,1340197372.8,82.0,55.79,50.25
100,10.0,1,21.08,7292408.37,1640496503.0,103.0,58.44,51.57
100,10.0,2,20.68,7292406.51,1731743806.95,103.0,56.01,48.93
100,10.0,3,20.3,7292407.51,1677376717.05,103.0,57.67,50.64
100,10.0,mean,20.69,7292407.46,1683205675.67,103.0,57.37,50.38
100,12.6,1,21.64,9221855.83,2105086134.95,130.0,59.5,51.39
100,12.6,2,20.76,9221864.19,2090478010.36,130.0,59.13,51.08
100,12.6,3,20.57,9221855.83,2112902179.15,130.0,59.08,50.83
100,12.6,mean,20.99,9221858.62,2102822108.15,130.0,59.24,51.1
