Processor,Batch Size,Dataset Size (GB),CPU Time (s),GPU time (s),Average CPU time (s),Average GPU Time (s),Inference Time,CPU memory usage,Average of CPU memory usage (Mb),GPU memory usage (MB),Average GPU memory Usage (Mb),Throughput (bitpers),Average throughput(bitpers),,
Rivanna HPC CPU,512,1,143.019317,0,148.5915677,0,148.5915677,1032053.61,1032380.792,0,0," 58,845,132.93 ",58657237.94,,
Rivanna HPC CPU,512,1,117.303085,0,,,0,1033909.092,,0,," 71,745,689.55 ",,,
Rivanna HPC CPU,512,1,185.452301,0,,,0,1031179.675,,0,," 45,380,891.34 ",,,
Rivanna HPC CPU,512,2,238.262051,0,248.816584,0,248.816584,2110829.059,2111275.647,0,0," 72,236,392.53 ",69261629.14,,
Rivanna HPC CPU,512,2,248.023589,0,,,0,2110859.534,,0,," 69,393,363.39 ",,,
Rivanna HPC CPU,512,2,260.164112,0,,,0,2112138.347,,0,," 66,155,131.50 ",,,
Rivanna HPC CPU,512,4,608.379126,0,538.703685,0,538.703685,4212621.224,4213629.7,0,0," 56,438,277.21 ",64242662.12,,
Rivanna HPC CPU,512,4,504.017822,0,,,0,4212311.701,,0,," 68,124,316.76 ",,,
Rivanna HPC CPU,512,4,503.714107,0,,,0,4215956.176,,0,," 68,165,392.40 ",,,
Rivanna HPC CPU,512,6,709.444715,0,783.575593,0,783.575593,6320539.234,6319457.656,0,0," 72,643,279.05 ",66131803.45,,
Rivanna HPC CPU,512,6,792.128249,0,,,0,6319831.537,,0,," 65,060,664.69 ",,,
Rivanna HPC CPU,512,6,849.153815,0,,,0,6318002.198,,0,," 60,691,466.60 ",,,
Rivanna HPC CPU,512,8,850.967244,0,1026.846908,0,1026.846908,8431162.4,8426149.118,0,0," 80,698,645.18 ",68138384.04,,
Rivanna HPC CPU,512,8,1042.88658,0,,,0,8426458.452,,0,," 65,847,911.94 ",,,
Rivanna HPC CPU,512,8,1186.686901,0,,,0,8420826.502,,0,," 57,868,595.01 ",,,
Rivanna HPC CPU,512,10,1297.526404,0,1353.609878,0,1353.609878,10541829.81,10535432.79,0,0," 66,198,339.53 ",63545968.41,,
Rivanna HPC CPU,512,10,1341.674555,0,,,0,10530139.57,,0,," 64,020,065.91 ",,,
Rivanna HPC CPU,512,10,1421.628675,0,,,0,10534329,,0,," 60,419,499.80 ",,,
